,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
221,3.0,9.666666666666666,12,2024,147.0,3.5,8.833333333333334,0.0
222,4.0,9.0,12,2024,100.0,3.5,8.5,18.0
223,5.0,8.333333333333334,12,2024,123.0,9.5,6.5,15.0
224,6.0,3.6666666666666665,12,2024,12.0,9.0,9.333333333333334,8.0
225,7.0,7.333333333333333,12,2024,17.0,7.5,14.666666666666666,0.0
226,8.0,12.333333333333334,12,2024,41.0,7.5,12.833333333333334,0.0
227,9.0,15.333333333333334,12,2024,2.0,10.0,17.666666666666668,0.0
228,10.0,15.666666666666666,12,2024,18.0,11.5,13.333333333333334,0.0
229,11.0,16.0,12,2024,0.0,10.0,14.666666666666666,0.0
230,12.0,13.666666666666666,12,2024,5.0,9.0,7.666666666666667,4.0
231,13.0,12.0,12,2024,6.0,11.5,11.5,2.0
232,14.0,9.333333333333334,12,2024,136.0,9.5,7.833333333333333,0.0
233,15.0,12.0,12,2024,0.0,16.5,15.833333333333334,0.0
234,16.0,13.0,12,2024,3.0,18.0,10.5,0.0
235,17.0,11.666666666666666,12,2024,105.0,9.5,7.166666666666667,6.0
236,18.0,12.0,12,2024,0.0,16.5,16.5,0.0
237,19.0,8.333333333333334,12,2024,105.0,10.0,5.0,25.0
238,20.0,9.333333333333334,12,2024,6.0,18.0,13.333333333333334,1.0
239,1.0,5.0,13,2024,112.0,1.5,6.0,12.0
240,2.0,5.666666666666667,13,2024,162.0,1.5,2.8333333333333335,15.0
241,3.0,2.6666666666666665,13,2024,100.0,5.5,7.5,25.0
242,4.0,6.0,13,2024,136.0,5.0,8.666666666666666,0.0
243,5.0,5.666666666666667,13,2024,231.0,6.0,8.333333333333334,18.0
244,6.0,7.0,13,2024,134.0,5.0,8.0,11.0
245,7.0,8.0,13,2024,105.0,6.0,8.333333333333334,0.0
246,8.0,13.666666666666666,13,2024,105.0,5.5,8.5,0.0
247,9.0,15.333333333333334,13,2024,19.0,10.5,11.5,1.0
248,10.0,12.0,13,2024,23.0,10.5,10.166666666666666,6.0
249,11.0,8.333333333333334,13,2024,45.0,10.5,8.5,4.0
250,12.0,9.333333333333334,13,2024,6.0,10.5,11.166666666666666,0.0
251,13.0,9.0,13,2024,20.0,14.0,8.333333333333334,8.0
252,14.0,9.333333333333334,13,2024,4.0,15.5,12.333333333333334,2.0
253,15.0,9.0,13,2024,5.0,14.0,10.666666666666666,0.0
254,16.0,12.0,13,2024,0.0,17.5,16.5,0.0
255,17.0,12.666666666666666,13,2024,0.0,15.5,11.833333333333334,0.0
256,18.0,14.0,13,2024,3.0,19.0,15.666666666666666,0.0
257,19.0,15.0,13,2024,0.0,17.5,16.833333333333332,0.0
258,20.0,18.0,13,2024,6.0,19.0,18.333333333333332,0.0
259,1.0,13.666666666666666,14,2024,115.0,10.5,7.0,15.0
260,2.0,8.0,14,2024,137.0,3.5,2.1666666666666665,25.0
261,3.0,2.6666666666666665,14,2024,148.0,4.5,6.5,12.0
262,4.0,3.3333333333333335,14,2024,241.0,5.5,7.166666666666667,10.0
263,5.0,3.6666666666666665,14,2024,180.0,3.5,2.1666666666666665,18.0
264,6.0,4.333333333333333,14,2024,142.0,4.5,4.833333333333333,8.0
265,7.0,5.0,14,2024,111.0,5.5,5.833333333333333,6.0
266,8.0,8.0,14,2024,45.0,9.5,9.5,0.0
267,9.0,12.0,14,2024,3.0,11.0,18.666666666666668,0.0
268,10.0,13.666666666666666,14,2024,6.0,13.0,10.833333333333334,0.0
269,11.0,13.333333333333334,14,2024,24.0,9.5,10.166666666666666,1.0
270,12.0,12.0,14,2024,4.0,14.5,13.666666666666666,0.0
271,13.0,14.666666666666666,14,2024,6.0,11.0,16.333333333333332,0.0
272,14.0,16.333333333333332,14,2024,5.0,16.0,12.333333333333334,0.0
273,15.0,17.0,14,2024,0.0,17.0,17.166666666666668,0.0
274,16.0,13.333333333333334,14,2024,21.0,13.0,11.333333333333334,2.0
275,17.0,14.0,14,2024,0.0,14.5,15.166666666666666,0.0
276,18.0,13.0,14,2024,20.0,16.0,14.666666666666666,0.0
277,19.0,16.333333333333332,14,2024,0.0,17.0,17.333333333333332,0.0
278,20.0,13.333333333333334,14,2024,110.0,10.5,7.166666666666667,5.0
279,1.0,10.666666666666666,15,2024,190.0,2.5,2.8333333333333335,10.0
280,2.0,5.666666666666667,15,2024,253.0,4.0,5.666666666666667,12.0
281,3.0,4.0,15,2024,163.0,4.0,4.666666666666667,15.0
282,4.0,3.0,15,2024,155.0,2.5,3.1666666666666665,18.0
283,5.0,3.6666666666666665,15,2024,150.0,4.0,4.333333333333333,8.0
284,6.0,5.0,15,2024,118.0,4.0,5.0,7.0
